nu_ano_censo;co_ies;no_ies
2022;2;UNIVERSIDADE DE BRASÍLIA
2022;6;UNIVERSIDADE FEDERAL DE OURO PRETO
2022;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS
2022;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS
2022;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA
2022;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS
2023;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL
2022;22;UNIVERSIDADE PRESBITERIANA MACKENZIE
2022;33;FACULDADE DE TECNOLOGIA DE SOROCABA
2022;34;FACULDADE DE TECNOLOGIA DE SÃO PAULO
2023;35;FACULDADE DE TECNOLOGIA DE AMERICANA MINISTRO RALPH BIASI
2022;36;FACULDADE DE TECNOLOGIA RUBENS LARA
2022;37;FACULDADE DE TECNOLOGIA DE JAHU
2022;54;UNIVERSIDADE ESTADUAL DE CAMPINAS
2022;55;UNIVERSIDADE DE SÃO PAULO
2022;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO
2022;58;FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO
2022;59;FACULDADE DE DIREITO DE FRANCA
2022;60;CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA
2022;67;ESCOLA DE ENGENHARIA DE PIRACICABA
2022;68;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS
2022;74;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO
2022;79;INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA
2022;93;FACULDADE DE MEDICINA DE JUNDIAÍ
2022;94;ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ
2022;107;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI
2022;109;FACULDADES INTEGRADAS RUI BARBOSA
2022;124;UNIVERSIDADE DE ARARAQUARA
2022;125;CENTRO UNIVERSITÁRIO DE ARARAS -
2019;131;FACULDADE DE EDUCAÇÃO FÍSICA DE BARRA BONITA
2022;135;Claretiano - Centro Universitário
2022;137;CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO
2022;138;CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ
2022;143;UNIVERSIDADE DE UBERABA
2022;146;CENTRO UNIVERSITÁRIO DE RIO PRETO
2022;149;FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO
2022;150;UNIVERSIDADE DE SOROCABA
2022;151;ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO - FGV EAESP
2022;161;CENTRO UNIVERSITÁRIO ASSUNÇÃO
2022;162;CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO
2022;163;UNIVERSIDADE ESTÁCIO DE SÁ
2022;167;UNIVERSIDADE METODISTA DE SÃO PAULO
2022;170;FUNVIC - FACULDADE FUNVIC DE MOCOCA
2022;200;FACULDADE CÁSPER LÍBERO
2022;203;UNIVERSIDADE SÃO JUDAS TADEU
2023;206;Centro Universitário Católico Ítalo Brasileiro
2022;207;CENTRO UNIVERSITÁRIO MOURA LACERDA
2022;208;UNIVERSIDADE DE RIBEIRÃO PRETO
2022;213;CENTRO UNIVERSITÁRIO ÁLVARES PENTEADO
2022;217;CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE
2022;219;FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL
2022;221;UNIVERSIDADE CRUZEIRO DO SUL
2022;222;CENTRO UNIVERSITÁRIO DE VOTUPORANGA
2022;224;Centro Universitário FMABC
2020;225;FACULDADE DE SANTO ANDRÉ
