linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
1,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,5,22,1,22.0,26
2,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,6,142,3,47.3,32
3,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,7,78,2,39.0,33
4,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,8,64,3,21.3,32
5,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,9,39,3,13.0,31
6,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,10,28,2,14.0,36
7,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,11,37,2,18.5,31
8,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,12,88,2,44.0,39
9,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,13,44,2,22.0,35
10,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,14,24,1,24.0,35
11,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,15,38,2,19.0,36
12,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,16,16,2,8.0,30
13,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,17,51,3,17.0,32
14,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,18,36,2,18.0,30
15,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,19,15,1,15.0,34
16,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF1-PF2,,11/04/2013,22,22,1,22.0,26
17,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF2-PF1,,11/04/2013,6,32,3,10.7,39
18,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF2-PF1,,11/04/2013,7,34,3,11.3,40
19,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF2-PF1,,11/04/2013,8,11,2,5.5,38
20,Linha 1.3 (Alto Alegre-Duque/Cerejeiras) PF2-PF1,,11/04/2013,9,75,3,25.0,46
